time,open,high,low,close,volume,Dividends,Stock Splits,rsi,macd,bollinger_hband,bollinger_lband,atr,target,close_lag_1,close_lag_2,close_lag_3,close_lag_4,close_lag_5
2024-07-31,171.91443658888358,172.91670298864665,168.7091404604878,170.22743225097656,25729100,0.0,0.0,36.26177171390481,-3.9903115866129326,194.3962850245922,163.32542823224372,4.046329714155678,169.45338439941406,168.98699951171875,168.2327880859375,165.72216796875,166.00001525878906,171.30906677246094
2024-08-01,168.94729223504007,172.71821867309802,167.58777995648467,169.45338439941406,24531400,0.0,0.0,35.219463361277974,-3.9979610038057274,193.946613747364,162.28062013935474,4.123766071474083,165.38478088378906,170.22743225097656,168.98699951171875,168.2327880859375,165.72216796875,166.00001525878906
2024-08-02,165.1664630337912,167.22061625981866,163.41000220136607,165.38478088378906,29130100,0.0,0.0,30.29088755106477,-4.282954291983202,192.8355649048236,161.01598843990294,4.260881509086505,158.03146362304688,169.45338439941406,170.22743225097656,168.98699951171875,168.2327880859375,165.72216796875
2024-08-05,154.3101575722687,163.17182044634595,153.74451178437454,158.03146362304688,53630700,0.0,0.0,23.806641850882983,-5.044020446916676,192.56743468543783,158.32890473106607,4.787980622681364,157.0788116455078,165.38478088378906,169.45338439941406,170.22743225097656,168.98699951171875,168.2327880859375
2024-08-06,158.11086239581772,159.34137978517677,155.2132070680051,157.0788116455078,49004600,0.0,0.0,23.116242524824727,-5.658810663982564,191.8716432512564,155.97917767159515,4.74085148657353,157.72384643554688,158.03146362304688,165.38478088378906,169.45338439941406,170.22743225097656,168.98699951171875
2024-08-07,160.01616866155442,161.7329270375027,157.2574415077753,157.72384643554688,25138600,0.0,0.0,24.708386628493685,-6.024540273430148,190.05859718690738,154.59289512266292,4.734656051246483,160.79019165039062,157.0788116455078,158.03146362304688,165.38478088378906,169.45338439941406,170.22743225097656
2024-08-08,159.28181801513983,162.4374934400702,158.9841256428161,160.79019165039062,25578800,0.0,0.0,31.92536923286653,-5.997816101033379,188.6976477854982,153.61785514418932,4.733155405051972,162.4176483154297,157.72384643554688,157.0788116455078,158.03146362304688,165.38478088378906,169.45338439941406
2024-08-09,158.78564981676743,162.53672526881738,157.84292193770273,162.4176483154297,28602300,0.0,0.0,35.461289076969024,-5.778701575579447,187.04248168469454,153.14939606188747,4.730344542627877,161.04820251464844,160.79019165039062,157.72384643554688,157.0788116455078,158.03146362304688,165.38478088378906
2024-08-12,163.09245277727376,163.638232240746,160.60164879815585,161.04820251464844,15895300,0.0,0.0,33.867186250257845,-5.650420041732502,184.79071935464725,152.99570642660274,4.6093616069108965,162.90390014648438,162.4176483154297,160.79019165039062,157.72384643554688,157.0788116455078,158.03146362304688
2024-08-13,162.15963892338314,163.46953080218395,161.72300324977175,162.90390014648438,18551700,0.0,0.0,37.93846971417273,-5.337489455788784,182.710136966348,153.11540929830045,4.453073512669798,159.14288330078125,161.04820251464844,162.4176483154297,160.79019165039062,157.72384643554688,157.0788116455078
2024-08-14,161.15734902797854,161.9710818575429,156.5032484754406,159.14288330078125,40591100,0.0,0.0,33.444576122212766,-5.331513964968309,181.12415738993974,152.65218690937667,4.592186238267938,160.06576538085938,162.90390014648438,161.04820251464844,162.4176483154297,160.79019165039062,157.72384643554688
2024-08-15,159.2718838038978,160.40316012990777,158.38869452431135,160.06576538085938,31524300,0.0,0.0,35.464645537732224,-5.192454095801082,179.91314771438684,152.2367363188163,4.4080633359342585,161.71310424804688,159.14288330078125,162.90390014648438,161.04820251464844,162.4176483154297,160.79019165039062
2024-08-16,160.2344996596875,163.7970268327427,159.89710483293223,161.71310424804688,24208600,0.0,0.0,39.0223892415665,-4.8929191422813005,178.47036793504117,152.22076823439244,4.37176752621113,165.3946990966797,160.06576538085938,159.14288330078125,162.90390014648438,161.04820251464844,162.4176483154297
2024-08-19,164.01533548402497,165.4145503036196,163.0031359185699,165.3946990966797,22416200,0.0,0.0,46.16532561104632,-4.308792519635176,175.80123011326253,153.4013852431828,4.323887421165529,165.9008026123047,161.71310424804688,160.06576538085938,159.14288330078125,162.90390014648438,161.04820251464844
