time,open,high,low,close,volume,Dividends,Stock Splits,rsi,macd,bollinger_hband,bollinger_lband,atr,target,close_lag_1,close_lag_2,close_lag_3,close_lag_4,close_lag_5
2024-07-31,219.53825698895486,221.89782218872546,218.7352157578384,220.17276000976562,50036300,0.0,0.0,52.493780574594666,0.7006179141610005,233.9304479675886,212.61636752313407,4.9729186142049295,216.48472595214844,216.9209442138672,216.36573791503906,216.088134765625,215.6221923828125,216.6631622314453
2024-08-01,222.44310665442717,222.55216258005441,215.15623749650504,216.48472595214844,62501000,0.0,0.0,45.92141408219612,0.391151388453693,234.0724686030192,212.15808712207846,5.1459905048723895,217.9718475341797,220.17276000976562,216.9209442138672,216.36573791503906,216.088134765625,215.6221923828125
2024-08-02,217.26793834308685,223.66255798049997,215.8403177402066,217.9718475341797,105568600,0.0,0.0,48.70999285854064,0.26286507555784056,233.9569537728691,211.63117031160357,5.337151200259603,207.47280883789062,216.48472595214844,220.17276000976562,216.9209442138672,216.36573791503906,216.088134765625
2024-08-05,197.38022606416695,211.66647767263768,194.31676638799527,207.47280883789062,119548600,0.0,0.0,34.9914661291359,-0.6781699097546436,234.76994936424413,208.9791076425918,6.645574767825662,205.45030212402344,217.9718475341797,216.48472595214844,220.17276000976562,216.9209442138672,216.36573791503906
2024-08-06,203.53688424769564,208.18660889381388,199.3432157724579,205.45030212402344,69660500,0.0,0.0,33.05987276550243,-1.569059167048664,235.33819411622068,206.28428360594728,6.802561793077827,208.01806640625,207.47280883789062,217.9718475341797,216.48472595214844,220.17276000976562,216.9209442138672
2024-08-07,205.12313014700663,211.80525225793107,204.61751548926864,208.01806640625,63516400,0.0,0.0,37.757619748785764,-2.044332412590876,234.42177693517746,204.90459177820142,6.830074291333871,211.47808837890625,205.45030212402344,207.47280883789062,217.9718475341797,216.48472595214844,220.17276000976562
2024-08-08,211.27980900719393,212.36044444161047,207.0365669160157,211.47808837890625,47161100,0.0,0.0,43.51042632999066,-2.1173871067201446,233.86034197351276,204.0522739932841,6.722488808066792,214.38290405273438,208.01806640625,205.45030212402344,207.47280883789062,217.9718475341797,216.48472595214844
2024-08-09,210.2784595957283,214.9182597959333,210.1495712142523,214.38290405273438,42201600,0.0,0.0,47.866867068264234,-1.918770735185916,232.5951658216507,203.8997316392868,6.582931649039237,215.91146850585938,211.47808837890625,208.01806640625,205.45030212402344,207.47280883789062,217.9718475341797
2024-08-12,214.4623401059105,217.8767320905019,213.9958359256548,215.91146850585938,38028100,0.25,0.0,50.04984918165582,-1.6193565192310473,230.23963106333048,204.60771695913047,6.389929114454083,219.6236572265625,214.38290405273438,211.47808837890625,208.01806640625,205.45030212402344,207.47280883789062
2024-08-13,217.380462936734,220.2390393048837,217.380462936734,219.6236572265625,44155300,0.0,0.0,54.9801290504215,-1.070189511697663,227.54303506415928,205.98634268242276,6.242617806209101,220.07028198242188,215.91146850585938,214.38290405273438,211.47808837890625,208.01806640625,205.45030212402344
2024-08-14,218.9288446755302,221.37053243582614,218.06530765715263,220.07028198242188,41960600,0.0,0.0,55.54861210371697,-0.592106382687632,226.28586973504724,206.55909639044103,6.032804018527988,223.04795837402344,219.6236572265625,215.91146850585938,214.38290405273438,211.47808837890625,208.01806640625
2024-08-15,222.9288560878089,223.67327566716008,221.1025352094067,223.04795837402344,46414000,0.0,0.0,59.24372061788783,0.026743261111107586,226.42489849543566,206.49939044499402,5.859246137543003,224.36807250976562,220.07028198242188,219.6236572265625,215.91146850585938,214.38290405273438,211.47808837890625
2024-08-16,222.25391598005478,225.14226768918678,221.98592068094572,224.36807250976562,44340200,0.0,0.0,60.799514241878455,0.6166004542763233,226.79391557187176,206.32881849795245,5.666181914021436,224.20925903320312,223.04795837402344,220.07028198242188,219.6236572265625,215.91146850585938,214.38290405273438
2024-08-19,224.0405257400108,224.30852103873067,221.38045847347976,224.20925903320312,40687800,0.0,0.0,60.50030460799643,1.0590436137053132,227.17524595453094,206.16475190923862,5.474855637040323,224.82464599609375,224.36807250976562,223.04795837402344,220.07028198242188,219.6236572265625,215.91146850585938
2024-08-20,224.0901616619868,225.47973889834265,223.7725353535306,224.82464599609375,30299000,0.0,0.0,61.29515683804606,1.442708939486181,227.50062142419404,206.01408041906768,5.205737630452589,224.71546936035156,224.20925903320312,224.36807250976562,223.04795837402344,220.07028198242188,219.6236572265625
2024-08-21,224.8345868015738,226.28371522001356,223.37552309496598,224.71546936035156,34765500,0.0,0.0,61.06039992265891,1.7181510563836468,228.44863405179206,205.8712985043603,5.041627237209374,222.859375,224.82464599609375,224.20925903320312,224.36807250976562,223.04795837402344,220.07028198242188
2024-08-22,226.09511339685906,226.64102413052154,222.2340576918725,222.859375,43695300,0.0,0.0,57.05934904783364,1.7663087083250275,229.05152420067782,205.99212661719326,4.996294323026494,225.15219116210938,224.71546936035156,224.82464599609375,224.20925903320312,224.36807250976562,223.04795837402344
2024-08-23,223.98097823318813,226.52192810531062,222.66087229355688,225.15219116210938,38677300,0.0,0.0,60.50236757478603,1.9668129020277263,229.94773826358542,206.0023181939341,4.915205857935583,225.4896697998047,222.859375,224.71546936035156,224.82464599609375,224.20925903320312,224.36807250976562
2024-08-26,225.07279660900764,225.58893181224732,222.22415556593285,225.4896697998047,30602200,0.0,0.0,60.998067212732245,2.128410632841394,230.81223159842327,206.05021804757283,4.804460885676933,226.33334350585938,225.15219116210938,222.859375,224.71546936035156,224.82464599609375,224.20925903320312
2024-08-27,224.31844891527626,227.14724957253156,223.21670725505913,226.33334350585938,35934600,0.0,0.0,62.27278826251273,2.2980647559523106,231.72510110573887,206.07858846945646,4.742038130805183,224.80479431152344,225.4896697998047,225.15219116210938,222.859375,224.71546936035156,224.82464599609375
2024-08-28,226.22414704916858,228.14971479709,224.0008084384826,224.80479431152344,38052200,0.0,0.0,58.53969311574641,2.282860332562791,232.2050670104511,206.06182599492,4.699671575648198,228.08023071289062,226.33334350585938,225.4896697998047,225.15219116210938,222.859375,224.71546936035156
2024-08-29,228.38793686624163,231.18694665641485,227.17701311839377,228.08023071289062,51906300,0.0,0.0,63.578248211717415,2.5062209065682453,233.28261932581464,206.14382415563065,4.819848773451284,227.29612731933594,224.80479431152344,226.33334350585938,225.4896697998047,225.15219116210938,222.859375
2024-08-30,228.4772755570311,228.68570457235603,225.78743262658827,227.29612731933594,52990800,0.0,0.0,61.64684391860237,2.5901080268123735,234.11330609914108,206.24556536081985,4.682593285759603,221.11248779296875,228.08023071289062,224.80479431152344,226.33334350585938,225.4896697998047,225.15219116210938
2024-09-03,226.84948058831634,227.2961293418145,219.52438650802387,221.11248779296875,50190600,0.0,0.0,49.003840230550416,2.133032867899601,233.51743717456526,208.2054021809035,4.903246824904676,219.20677185058594,227.29612731933594,228.08023071289062,224.80479431152344,226.33334350585938,225.4896697998047
2024-09-04,220.01074262314262,220.12984491677884,215.86183603349318,219.20677185058594,43840200,0.0,0.0,45.88085718552972,1.5985945586137404,232.10051973717103,210.99796659095395,4.928061463088312,220.7253875732422,221.11248779296875,227.29612731933594,228.08023071289062,224.80479431152344,226.33334350585938
2024-09-05,219.9809679444758,223.80231295165626,219.87178579311316,220.7253875732422,36615400,0.0,0.0,48.68719332727776,1.2828006182898548,230.74217172154061,213.62704672328363,4.904310008658456,219.17698669433594,219.20677185058594,221.11248779296875,227.29612731933594,228.08023071289062,224.80479431152344
2024-09-06,222.28368749781316,223.56409767944487,218.13479623481732,219.17698669433594,48423000,0.0,0.0,46.064340978455505,0.8972457445815678,229.7474637582311,215.3916445181361,4.941809396941963,219.26634216308594,220.7253875732422,219.20677185058594,221.11248779296875,227.29612731933594,228.08023071289062
2024-09-09,219.17701543505086,219.6236642204836,215.09759492361837,219.26634216308594,67180000,0.0,0.0,46.24431338692672,0.5920758866809877,229.14317315873123,216.4842789286711,4.91211367550791,218.47227478027344,219.17698669433594,220.7253875732422,219.20677185058594,221.11248779296875,227.29612731933594
2024-09-10,217.29112653781655,219.83207646515766,215.1174187834135,218.47227478027344,51591000,0.0,0.0,44.813255067354554,0.28289098301110016,228.7930680489275,217.09046466591624,4.898009675953355,221.0032958984375,219.26634216308594,219.17698669433594,220.7253875732422,219.20677185058594,221.11248779296875
2024-09-11,219.81222755985956,221.43008920211523,216.26878297144034,221.0032958984375,44587100,0.0,0.0,50.112498231774396,0.23933308804618036,228.73510514218938,217.28639143984188,4.916816572719179,221.11248779296875,218.47227478027344,219.26634216308594,219.17698669433594,220.7253875732422,219.20677185058594
2024-09-12,220.84449248276735,221.8866830044339,218.1844402475294,221.11248779296875,37455600,0.0,0.0,50.334071286946056,0.21118955408419993,228.69746678365948,217.42825037942646,4.830061300160987,220.844482421875,221.0032958984375,218.47227478027344,219.26634216308594,219.17698669433594,220.7253875732422
2024-09-13,221.91644846858938,222.37301734416337,220.25887596851652,220.844482421875,36766600,0.0,0.0,49.750013029250326,0.16535371235625007,228.66971641604687,217.23565315182424,4.636067019838549,214.71047973632812,221.11248779296875,221.0032958984375,218.47227478027344,219.26634216308594,219.17698669433594
2024-09-16,214.92882889414335,215.60377723416104,212.32832783334672,214.71047973632812,59357400,0.0,0.0,38.68559576738545,-0.36176408399677484,229.17337762769873,215.76623266282863,4.913216131887816,215.1769561767578,220.844482421875,221.11248779296875,221.0032958984375,218.47227478027344,219.26634216308594
2024-09-17,214.14470101422842,215.2861383219032,212.90400170360138,215.1769561767578,45519300,0.0,0.0,39.782400266654186,-0.7334136490368905,229.3771334271586,214.6592465777242,4.732424738060244,219.0479736328125,214.71047973632812,220.844482421875,221.11248779296875,221.0032958984375,218.47227478027344
2024-09-18,215.93133719300198,221.05294820219595,215.92140190435074,219.0479736328125,59894900,0.0,0.0,48.08212547489925,-0.7074349795791761,229.07847516817807,214.3802376003766,4.814108115730093,227.16708374023438,215.1769561767578,214.71047973632812,220.844482421875,221.11248779296875,221.0032958984375
2024-09-19,223.31596324984213,228.11002736409566,222.95864123060412,227.16708374023438,66781300,0.0,0.0,60.40795576863446,-0.03134108491539678,229.47295044715005,214.23092375939294,5.117532802555312,226.5020751953125,219.0479736328125,215.1769561767578,214.71047973632812,220.844482421875,221.11248779296875
